2022-06-26 12:38:17,622 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:38:17,625 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\COURSES\3Java\practice ee\OnlineQuiz\NoteTaker\src\test\resources
2022-06-26 12:38:27,906 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:38:27,926 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-06-26 12:38:27,931 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:38:28,027 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\COURSES\3Java\practice ee\OnlineQuiz\NoteTaker\src\test\resources
2022-06-26 12:38:39,511 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:38:39,514 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-06-26 12:38:39,516 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:38:39,527 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\COURSES\3Java\practice ee\OnlineQuiz\NoteTaker\src\test\resources
2022-06-26 12:38:40,764 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:38:40,770 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-06-26 12:38:40,773 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:38:40,782 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\COURSES\3Java\practice ee\OnlineQuiz\NoteTaker\src\test\resources
2022-06-26 12:38:40,806 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:38:40,878 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
